country,cover,director,genre,mark,playable,rank,rater,release_date,starring,title
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,导演: 格斯·范·桑特 Gus Van Sant,剧情,8.9,[不可播放],84,725984人评价,1997,主演: 马特·达蒙 Matt Damon / 罗宾·...,心灵捕手
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,导演: 托尼·凯耶 Tony Kaye,剧情,9.0,[不可播放],85,615583人评价,2011,主演: 艾德里安·布洛迪 Adrien Brody / 马西...,超脱
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,导演: 路易·西霍尤斯 Louie Psihoyos,纪录片,9.3,[不可播放],86,360535人评价,2009,主演: 路易·西霍尤斯 Louie Psihoyo...,海豚湾
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,剧情 喜剧 犯罪,8.9,[不可播放],87,847724人评价,1994,主演: 约翰·特拉沃尔塔 John Tra...,低俗小说
中国香港 日本 韩国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,导演: 王家卫 Kar Wai Wong,剧情 爱情 同性,9.0,[不可播放],88,641537人评价,1997,主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,春光乍泄
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,导演: 查理·卓别林 Charles Chaplin,剧情 喜剧 爱情,9.3,[不可播放],89,306621人评价,1936,主演: 查理·卓别林 Charles Chaplin ...,摩登时代
美国 意大利,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,导演: 赛尔乔·莱翁内 Sergio Leone,犯罪 剧情,9.2,[不可播放],90,418317人评价,1984,主演: 罗伯特·德尼罗 Robert De Niro ...,美国往事
中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,喜剧 剧情 爱情,8.8,[不可播放],91,984521人评价,1999,主演: 周星驰 Stephen Ch...,喜剧之王
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,导演: 詹姆斯·曼高德 James Mangold,剧情 悬疑 惊悚,8.9,[不可播放],92,839332人评价,2003,主演: 约翰·库萨克 John Cusack / 雷...,致命ID
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,导演: 奉俊昊 Joon-ho Bong,剧情 动作 犯罪 悬疑 惊悚,8.9,[不可播放],93,728348人评价,2003,主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,杀人回忆
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,导演: 大卫·芬奇 David Fincher,剧情 犯罪 悬疑 惊悚,8.8,[不可播放],94,955010人评价,1995,主演: 摩根·弗里曼 Morgan Freeman / 布...,七宗罪
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,导演: 今敏 Satoshi Kon,动画 悬疑 科幻 惊悚,9.1,[不可播放],95,475707人评价,2006,主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,红辣椒
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589545.jpg,导演: 戈尔·维宾斯基 Gore Verbinski,动作 冒险 奇幻,8.8,[不可播放],96,871978人评价,2003,主演: 约翰尼·德普 Johnny Depp / ...,加勒比海盗
英国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,导演: Chris Columbus,奇幻 冒险,8.9,[不可播放],97,774131人评价,2002,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,哈利·波特与密室
中国台湾 日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,导演: 杨德昌 Edward Yang,剧情 爱情 家庭,9.1,[不可播放],98,403640人评价,2000,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,一一
丹麦 瑞典,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,导演: 托马斯·温特伯格 Thomas Vinterberg,剧情,9.1,[不可播放],99,399529人评价,2012,主演: 麦斯·米科尔森 Mads Mik...,狩猎
中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,导演: 李力持 Lik-Chi Lee,喜剧 爱情 古装,8.7,[不可播放],100,1096797人评价,1993,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,唐伯虎点秋香
韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,导演: 李焕庆 Hwan-kyeong Lee,剧情 喜剧 家庭,8.9,[不可播放],101,565402人评价,2013,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,7号房的礼物
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,导演: 中岛哲也 Tetsuya Nakashima,剧情 歌舞,8.9,[不可播放],102,711750人评价,2006,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,被嫌弃的松子的一生
意大利 法国 巴西 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,导演: 卢卡·瓜达尼诺 Luca Guadagnino,剧情 爱情 同性,8.8,[不可播放],103,733736人评价,2017,主演: 艾米·汉莫 Armie Hammer / ...,请以你的名字呼唤我
美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,导演: 克里斯托弗·诺兰 Christopher Nolan,剧情 动作 科幻 犯罪 惊悚,8.8,[不可播放],104,734047人评价,2012,主演: 克里斯蒂安·贝尔 Christ...,蝙蝠侠：黑暗骑士崛起
美国 加拿大,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,导演: 李安 Ang Lee,剧情 爱情 同性 家庭,8.8,[不可播放],105,715170人评价,2005,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,断背山
美国 奥地利 瑞士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,导演: 理查德·林克莱特 Richard Linklater,剧情 爱情,8.8,[不可播放],106,696203人评价,1995,主演: 伊桑·霍克 Ethan Hawke ...,爱在黎明破晓前
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589720.jpg,导演: 蒂姆·波顿 Tim Burton,剧情 奇幻 爱情,8.7,[不可播放],107,1045836人评价,1990,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,剪刀手爱德华
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,导演: 泷田洋二郎 Yôjirô Takita,剧情,8.9,[不可播放],108,677005人评价,2008,主演: 本木雅弘 Masahiro Motoki / ...,入殓师
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,导演: M·奈特·沙马兰 M. Night Shyamalan,剧情 悬疑 惊悚,8.9,[不可播放],109,564703人评价,1999,主演: 布鲁斯·威利斯 Bruce Wi...,第六感
中国香港,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,导演: 王家卫 Kar Wai Wong,剧情 爱情,8.8,[不可播放],110,823789人评价,1994,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,重庆森林
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,导演: 梅尔·吉布森 Mel Gibson,动作 传记 剧情 历史 战争,8.9,[不可播放],111,564008人评价,1995,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,勇敢的心
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589512.jpg,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,喜剧 动作 科幻 动画 冒险,8.7,[不可播放],112,1030252人评价,2014,主演: 斯科特...,超能陆战队
中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,导演: 陈可辛 Peter Chan,剧情 爱情,8.9,[不可播放],113,566357人评价,1996,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,甜蜜蜜
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,导演: 宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,8.9,[不可播放],114,531664人评价,1997,主演: 松田洋治 Yôji Matsuda / 石田百合...,幽灵公主
美国 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,导演: 理查德·林克莱特 Richard Linklater,剧情 爱情,8.9,[不可播放],115,572024人评价,2004,主演: 伊桑·霍克 Ethan Hawke ...,爱在日落黄昏时
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,导演: 北野武 Takeshi Kitano,剧情 喜剧,8.9,[不可播放],116,604933人评价,1999,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,菊次郎的夏天
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,导演: 米林宏昌 Hiromasa Yonebayashi,动画 奇幻 冒险,8.9,[不可播放],117,562359人评价,2010,主演: 志田未来 Mirai Shida / 神木...,借东西的小人阿莉埃蒂
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,导演: 大卫·芬奇 David Fincher,剧情 犯罪 悬疑 惊悚,8.7,[不可播放],118,969751人评价,2014,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,消失的爱人
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,导演: 奉俊昊 Joon-ho Bong,剧情,8.8,[不可播放],119,1389985人评价,2019,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,寄生虫
中国大陆 中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,导演: 姜文 Wen Jiang,剧情 爱情,8.8,[不可播放],120,622770人评价,1994,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,阳光灿烂的日子
法国 德国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,剧情 喜剧 爱情,8.7,[不可播放],121,962155人评价,2001,主演: 奥黛丽·塔图 Audrey Tau...,天使爱美丽
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,导演: 克林特·伊斯特伍德 Clint Eastwood,剧情 犯罪,9.1,[不可播放],122,320243人评价,1993,主演: 凯文·科斯特纳 Kevin Cos...,完美的世界
日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,导演: 森淳一 Junichi Mori,剧情,9.0,[不可播放],123,431427人评价,2014,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,小森林 夏秋篇
中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,导演: 程小东 Siu-Tung Ching,爱情 奇幻 武侠 古装,8.8,[不可播放],124,748014人评价,1987,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,倩女幽魂
日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,导演: 是枝裕和 Hirokazu Koreeda,剧情,9.1,[不可播放],125,324279人评价,2004,主演: 柳乐优弥 Yûya Yagira / 北浦爱...,无人知晓
英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,导演: 理查德·柯蒂斯 Richard Curtis,喜剧 爱情 奇幻,8.8,[不可播放],126,686825人评价,2013,主演: 多姆纳尔·格里森 Domhnall Gl...,时空恋旅人
日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,导演: 近藤喜文 Yoshifumi Kondo,剧情 爱情 动画,8.9,[不可播放],127,469780人评价,1995,主演: 本名阳子 Youko Honna / 小林桂树 K...,侧耳倾听
日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,导演: 今敏 Satoshi Kon,动画 奇幻 惊悚,9.1,[不可播放],128,344516人评价,1997,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,未麻的部屋
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,喜剧 剧情 爱情,8.8,[不可播放],129,580044人评价,2004,主演: 汤姆·汉克斯 Tom Hanks...,幸福终点站
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,动画 奇幻 冒险,8.8,[不可播放],130,766736人评价,2010,主演:...,驯龙高手
英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,导演: 迈克·内威尔 Mike Newell,悬疑 奇幻 冒险,8.8,[不可播放],131,675389人评价,2005,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,哈利·波特与火焰杯
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,导演: 森淳一 Junichi Mori,剧情,9.0,[不可播放],132,384026人评价,2015,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,小森林 冬春篇
瑞典,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,导演: 汉内斯·赫尔姆 Hannes Holm,剧情,8.9,[不可播放],133,492796人评价,2015,主演: 罗夫·拉斯加德 Rolf Lassgård...,一个叫欧维的男人决定去死
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,9.0,[不可播放],134,380914人评价,1990,主演: 阿尔·帕西诺 A...,教父3
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896590108.jpg,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,儿童 喜剧 动画 奇幻 冒险,8.8,[不可播放],135,684357人评价,2001,主演: 约...,怪兽电力公司
法国 英国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,导演: 乔·怀特 Joe Wright,剧情 爱情,8.7,[不可播放],136,814760人评价,2005,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,傲慢与偏见
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589481.jpg,导演: 李·昂克里奇 Lee Unkrich,喜剧 动画 奇幻 冒险,8.9,[不可播放],137,526717人评价,2010,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,玩具总动员3
日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,导演: 大森贵弘 Takahiro Omori,剧情 爱情 动画 奇幻,8.9,[不可播放],138,548262人评价,2011,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,萤火之森
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,导演: 朴勋政 Hoon-jung Park,剧情 犯罪,8.9,[不可播放],139,446637人评价,2013,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,新世界
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,导演: 延尚昊 Sang-ho Yeon,动作 惊悚 灾难,8.6,[不可播放],140,1216538人评价,2016,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,釜山行
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,剧情 动作 西部 冒险,8.8,[不可播放],141,618226人评价,2012,主演: 杰米·福克斯 Jamie Foxx /...,被解救的姜戈
美国 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,喜剧 动画 冒险,8.7,[不可播放],142,959464人评价,2010,主演: ...,神偷奶爸
中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,导演: 谢添 Tian Xie,剧情 历史,9.6,[不可播放],143,153232人评价,1982(中国大陆),主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,茶馆
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,导演: 中岛哲也 Tetsuya Nakashima,剧情 悬疑,8.8,[不可播放],144,679342人评价,2010,主演: 松隆子 Takako Matsu / 冈田将生 ...,告白
澳大利亚 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,导演: 亚当·艾略特 Adam Elliot,剧情 喜剧 动画,9.0,[不可播放],145,425388人评价,2009,主演: 托妮·科莱特 Toni Collette / 菲利...,玛丽和马克思
中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,冒险 动画 奇幻,9.2,[不可播放],146,264198人评价,1979,主演: 梁正晖 Zhenghui ...,哪吒闹海
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,导演: 蒂姆·波顿 Tim Burton,剧情 家庭 奇幻 冒险,8.8,[不可播放],147,575036人评价,2003,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,大鱼
中国香港 中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,导演: 王晶 Jing Wong,剧情 喜剧 古装,8.7,[不可播放],148,693299人评价,1994,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,九品芝麻官
中国台湾 中国大陆 美国 中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,导演: 李安 Ang Lee,剧情 爱情 情色,8.7,[不可播放],149,826340人评价,2007,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,色，戒
中国台湾 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,导演: 李安 Ang Lee,剧情 喜剧 爱情 同性 家庭,9.0,[不可播放],150,370141人评价,1993,主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,喜宴
英国 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,导演: 莫滕·泰杜姆 Morten Tyldum,剧情 传记 战争 同性,8.8,[不可播放],151,656922人评价,2014,主演: 本尼迪克特·康伯巴奇 Benedict C...,模仿游戏
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,动作 科幻 冒险,8.7,[不可播放],152,1385754人评价,2018,主演: 泰伊·谢里丹 Tye Sheri...,头号玩家
中国香港,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg,导演: 刘镇伟 Jeffrey Lau,喜剧 奇幻 武侠 古装,8.7,[不可播放],153,646561人评价,1993,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,射雕英雄传之东成西就
中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,导演: 王家卫 Kar Wai Wong,剧情 爱情,8.8,[不可播放],154,618999人评价,2000,主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,花样年华
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,导演: 杰茜·尼尔森 Jessie Nelson,剧情 家庭,9.0,[不可播放],155,342937人评价,2001,主演: Sean Penn / Dakota Fanning / Mi...,我是山姆
韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,导演: 姜炯哲 Hyeong-Cheol Kang,剧情 喜剧,8.8,[不可播放],156,595782人评价,2011,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,阳光姐妹淘
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589345.jpg,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,喜剧 动画 冒险,8.8,[不可播放],157,625914人评价,2015,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,头脑特工队
澳大利亚 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,导演: 梅尔·吉布森 Mel Gibson,剧情 传记 历史 战争,8.7,[不可播放],158,791881人评价,2016,主演: 安德鲁·加菲尔德 Andrew Garfield /...,血战钢锯岭
日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,导演: 黑泽明 Akira Kurosawa,动作 冒险 剧情,9.3,[不可播放],159,201704人评价,1954,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,七武士
韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,导演: 金秉祐 Byeong-woo Kim,剧情 犯罪 悬疑,8.7,[不可播放],160,661069人评价,2013,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖直播
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,悬疑 惊悚 恐怖,9.0,[不可播放],161,301987人评价,1960,主演: 安东尼·博金斯 Antho...,惊魂记
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,动作 科幻,8.8,[不可播放],162,452885人评价,2003,...,黑客帝国3：矩阵革命
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,导演: 新海诚 Makoto Shinkai,剧情 爱情 动画,8.5,[不可播放],163,1428384人评价,2016,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,你的名字。
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,导演: 詹姆斯·温 James Wan,悬疑 惊悚 恐怖,8.7,[不可播放],164,543455人评价,2004,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,电锯惊魂
英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590555.jpg,导演: 马丁·麦克唐纳 Martin McDonagh,剧情 犯罪,8.7,[不可播放],165,830530人评价,2017,主演: 弗兰西斯·麦克多蒙德 France...,三块广告牌
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,导演: 让-马克·瓦雷 Jean-Marc Vallée,剧情 传记 同性,8.8,[不可播放],166,458665人评价,2013,主演: 马修·麦康纳 Matthew McCon...,达拉斯买家俱乐部
